-------------------------------------------------------------------------
Benchmark                               Time             CPU   Iterations
toss_me/8192                   5388754740 ns   5387146083 ns            1
toss_me/8192                   5346949435 ns   5345337928 ns            1
toss_me/8192                   5872364157 ns   5871726759 ns            1
toss_me/8192                   5600790303 ns   5599230422 ns            1
toss_me/8192                   5427553604 ns   5426207399 ns            1
toss_me/8192                   5415059256 ns   5413643473 ns            1
toss_me/8192                   5400863766 ns   5398951366 ns            1
toss_me/8192                   5424210555 ns   5422857778 ns            1
toss_me/8192                   6463034483 ns   6461857658 ns            1
toss_me/8192                   5393158371 ns   5391676456 ns            1
toss_me/8192                   5412663082 ns   5411373278 ns            1
toss_me/8192                   5391644205 ns   5389940048 ns            1
toss_me/8192                   5438228761 ns   5436436606 ns            1
toss_me/8192                   5389030396 ns   5387568689 ns            1
toss_me/8192                   5394671843 ns   5393107554 ns            1
toss_me/8192                   5423014901 ns   5421281018 ns            1
toss_me/8192                   5432500360 ns   5430795512 ns            1
toss_me/8192_mean              6276593526 ns   6274855910 ns           40
toss_me/8192_median            5423612728 ns   5422069398 ns           40
toss_me/8192_stddev            1766543727 ns   1766098782 ns           40
add_copy_bench/2                      218 ns          218 ns      3317573
add_copy_bench/2                      211 ns          211 ns      3317573
add_copy_bench/2                      211 ns          211 ns      3317573
add_copy_bench/2                      212 ns          212 ns      3317573
add_copy_bench/2                      212 ns          212 ns      3317573
add_copy_bench/2                      211 ns          211 ns      3317573
add_copy_bench/2                      211 ns          211 ns      3317573
add_copy_bench/2                      213 ns          213 ns      3317573
add_copy_bench/2                      214 ns          214 ns      3317573
add_copy_bench/2                      215 ns          215 ns      3317573
add_copy_bench/2                      216 ns          216 ns      3317573
add_copy_bench/2                      216 ns          216 ns      3317573
add_copy_bench/2                      213 ns          212 ns      3317573
